Object ID: 22, Velocity: 19 km/h, Direction: in, Lane: 1, Label: car
Object ID: 38, Velocity: 101 km/h, Direction: in, Lane: 2, Label: car
Object ID: 37, Velocity: 99 km/h, Direction: in, Lane: 3, Label: car
Object ID: 21, Velocity: 131 km/h, Direction: in, Lane: 1, Label: car
Object ID: 40, Velocity: 81 km/h, Direction: in, Lane: 2, Label: car
Object ID: 61, Velocity: 109 km/h, Direction: in, Lane: 1, Label: car
Object ID: 28, Velocity: 85 km/h, Direction: in, Lane: 3, Label: car
Object ID: 43, Velocity: 95 km/h, Direction: in, Lane: 2, Label: car
Object ID: 84, Velocity: 75 km/h, Direction: in, Lane: 3, Label: car
Object ID: 148, Velocity: 79 km/h, Direction: in, Lane: 3, Label: car
Object ID: 198, Velocity: 100 km/h, Direction: in, Lane: 1, Label: car
Object ID: 132, Velocity: 105 km/h, Direction: in, Lane: 2, Label: car
Object ID: 170, Velocity: 110 km/h, Direction: in, Lane: 1, Label: car
Object ID: 146, Velocity: 124 km/h, Direction: in, Lane: 1, Label: car
Object ID: 262, Velocity: 119 km/h, Direction: in, Lane: 1, Label: car
Object ID: 167, Velocity: 66 km/h, Direction: in, Lane: 3, Label: car
Object ID: 270, Velocity: 105 km/h, Direction: in, Lane: 1, Label: car
Object ID: 171, Velocity: 82 km/h, Direction: in, Lane: 2, Label: car
Object ID: 331, Velocity: 67 km/h, Direction: in, Lane: 3, Label: car
Object ID: 325, Velocity: 120 km/h, Direction: in, Lane: 1, Label: car
Object ID: 301, Velocity: 69 km/h, Direction: in, Lane: 3, Label: car
Object ID: 297, Velocity: 78 km/h, Direction: in, Lane: 2, Label: car
Object ID: 275, Velocity: 109 km/h, Direction: in, Lane: 1, Label: car
Object ID: 441, Velocity: 105 km/h, Direction: in, Lane: 3, Label: car
Object ID: 453, Velocity: 124 km/h, Direction: in, Lane: 1, Label: car
Object ID: 482, Velocity: 88 km/h, Direction: in, Lane: 3, Label: car
Object ID: 361, Velocity: 90 km/h, Direction: in, Lane: 2, Label: car
Object ID: 438, Velocity: 119 km/h, Direction: in, Lane: 1, Label: car
Object ID: 364, Velocity: 76 km/h, Direction: in, Lane: 3, Label: car
Object ID: 504, Velocity: 97 km/h, Direction: in, Lane: 2, Label: car
Object ID: 577, Velocity: 124 km/h, Direction: in, Lane: 2, Label: car
Object ID: 549, Velocity: 93 km/h, Direction: in, Lane: 3, Label: car
Object ID: 523, Velocity: 133 km/h, Direction: in, Lane: 1, Label: car
Object ID: 581, Velocity: 105 km/h, Direction: in, Lane: 2, Label: car
Object ID: 575, Velocity: 105 km/h, Direction: in, Lane: 1, Label: car
Object ID: 434, Velocity: 93 km/h, Direction: in, Lane: 3, Label: car
Object ID: 595, Velocity: 120 km/h, Direction: in, Lane: 1, Label: car
Object ID: 637, Velocity: 101 km/h, Direction: in, Lane: 1, Label: car
Object ID: 694, Velocity: 84 km/h, Direction: in, Lane: 2, Label: car
Object ID: 633, Velocity: 81 km/h, Direction: in, Lane: 3, Label: car
Object ID: 622, Velocity: 90 km/h, Direction: in, Lane: 2, Label: car
Object ID: 719, Velocity: 81 km/h, Direction: in, Lane: 2, Label: car
Object ID: 701, Velocity: 103 km/h, Direction: in, Lane: 3, Label: car
Object ID: 825, Velocity: 105 km/h, Direction: in, Lane: 3, Label: car
Object ID: 755, Velocity: 95 km/h, Direction: in, Lane: 2, Label: car
Object ID: 780, Velocity: 95 km/h, Direction: in, Lane: 1, Label: car
Object ID: 868, Velocity: 85 km/h, Direction: in, Lane: 2, Label: car
Object ID: 730, Velocity: 87 km/h, Direction: in, Lane: 3, Label: car
Object ID: 872, Velocity: 93 km/h, Direction: in, Lane: 2, Label: car
Object ID: 854, Velocity: 100 km/h, Direction: in, Lane: 1, Label: car
Object ID: 853, Velocity: 88 km/h, Direction: in, Lane: 2, Label: car
Object ID: 915, Velocity: 120 km/h, Direction: in, Lane: 1, Label: car
Object ID: 884, Velocity: 87 km/h, Direction: in, Lane: 3, Label: car
Object ID: 927, Velocity: 100 km/h, Direction: in, Lane: 1, Label: car
Object ID: 1017, Velocity: 81 km/h, Direction: in, Lane: 2, Label: car
Object ID: 1001, Velocity: 129 km/h, Direction: in, Lane: 1, Label: car
Object ID: 1051, Velocity: 101 km/h, Direction: in, Lane: 2, Label: car
Object ID: 947, Velocity: 42 km/h, Direction: in, Lane: 3, Label: car
Object ID: 1062, Velocity: 133 km/h, Direction: in, Lane: 1, Label: car
Object ID: 12, Velocity: 9 km/h, Direction: out, Lane: 6, Label: car
Object ID: 10, Velocity: 20 km/h, Direction: out, Lane: 4, Label: car
Object ID: 14, Velocity: 9 km/h, Direction: out, Lane: 6, Label: car
Object ID: 41, Velocity: 24 km/h, Direction: out, Lane: 5, Label: car
Object ID: 11, Velocity: 42 km/h, Direction: out, Lane: 4, Label: car
Object ID: 2, Velocity: 72 km/h, Direction: out, Lane: 4, Label: car
Object ID: 16, Velocity: 39 km/h, Direction: out, Lane: 5, Label: car
Object ID: 33, Velocity: 20 km/h, Direction: out, Lane: 4, Label: car
Object ID: 20, Velocity: 30 km/h, Direction: out, Lane: 6, Label: bus
Object ID: 128, Velocity: 158 km/h, Direction: out, Lane: 4, Label: car
Object ID: 17, Velocity: 54 km/h, Direction: out, Lane: 6, Label: bus
Object ID: 156, Velocity: 27 km/h, Direction: out, Lane: 4, Label: car
Object ID: 152, Velocity: 43 km/h, Direction: out, Lane: 4, Label: car
Object ID: 112, Velocity: 43 km/h, Direction: out, Lane: 5, Label: car
Object ID: 235, Velocity: 39 km/h, Direction: out, Lane: 4, Label: car
Object ID: 232, Velocity: 39 km/h, Direction: out, Lane: 6, Label: car
Object ID: 140, Velocity: 33 km/h, Direction: out, Lane: 5, Label: bus
Object ID: 290, Velocity: 42 km/h, Direction: out, Lane: 4, Label: car
Object ID: 217, Velocity: 24 km/h, Direction: out, Lane: 5, Label: car
Object ID: 336, Velocity: 41 km/h, Direction: out, Lane: 4, Label: car
Object ID: 254, Velocity: 39 km/h, Direction: out, Lane: 6, Label: car
Object ID: 368, Velocity: 27 km/h, Direction: out, Lane: 4, Label: car
Object ID: 296, Velocity: 51 km/h, Direction: out, Lane: 5, Label: car
Object ID: 401, Velocity: 27 km/h, Direction: out, Lane: 4, Label: car
Object ID: 464, Velocity: 39 km/h, Direction: out, Lane: 5, Label: car
Object ID: 280, Velocity: 20 km/h, Direction: out, Lane: 6, Label: car
Object ID: 457, Velocity: 66 km/h, Direction: out, Lane: 4, Label: car
Object ID: 379, Velocity: 28 km/h, Direction: out, Lane: 5, Label: car
Object ID: 556, Velocity: 42 km/h, Direction: out, Lane: 4, Label: car
Object ID: 425, Velocity: 33 km/h, Direction: out, Lane: 5, Label: car
Object ID: 397, Velocity: 36 km/h, Direction: out, Lane: 6, Label: car
Object ID: 602, Velocity: 41 km/h, Direction: out, Lane: 4, Label: car
Object ID: 496, Velocity: 57 km/h, Direction: out, Lane: 5, Label: car
Object ID: 635, Velocity: 88 km/h, Direction: out, Lane: 4, Label: car
Object ID: 662, Velocity: 27 km/h, Direction: out, Lane: 4, Label: car
Object ID: 548, Velocity: 54 km/h, Direction: out, Lane: 5, Label: car
Object ID: 596, Velocity: 60 km/h, Direction: out, Lane: 5, Label: car
Object ID: 699, Velocity: 75 km/h, Direction: out, Lane: 4, Label: car
Object ID: 574, Velocity: 38 km/h, Direction: out, Lane: 6, Label: car
Object ID: 766, Velocity: 39 km/h, Direction: out, Lane: 4, Label: car
Object ID: 626, Velocity: 45 km/h, Direction: out, Lane: 6, Label: car
Object ID: 674, Velocity: 27 km/h, Direction: out, Lane: 5, Label: car
Object ID: 1022, Velocity: 42 km/h, Direction: out, Lane: 4, Label: car
Object ID: 706, Velocity: 41 km/h, Direction: out, Lane: 5, Label: car
Object ID: 664, Velocity: 36 km/h, Direction: out, Lane: 6, Label: car
